calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitamin_c_mg,glycemic_index,saturated_fat_g,gluten_free,dairy_free,purine_level,fodmap_score,goitrogen_flag,label_Diabetes,label_Hypertension,label_Heart Disease,label_Obesity,label_Celiac Disease,label_Lactose Intolerance,label_Kidney Disease,label_High Cholesterol,label_PCOS,label_Thyroid Disorder,label_Anemia,label_Gout,label_IBS,label_Liver Disease,label_GERD,label_Osteoporosis,label_Rheumatoid Arthritis,label_NAFLD,label_Gallbladder Disease,label_Crohn's Disease,label_Chronic Pancreatitis,label_Migraine
28.11,3.85,6.39,0.6,2.62,0.47,9.36,459.85,110.11,3.12,21.24,11,0.72,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
47.85,1.0,7.95,0.62,4.45,0.02,6.73,357.43,89.99,1.14,78.43,24,0.46,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
42.48,1.6,5.09,0.59,2.19,1.82,17.79,219.52,144.89,3.9,68.5,18,0.02,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
23.08,1.72,6.1,0.61,5.33,0.52,34.33,254.67,125.54,2.28,32.48,13,0.18,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
48.94,3.33,7.64,0.89,4.39,2.77,11.64,258.79,54.52,1.98,43.32,11,0.54,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
35.54,3.9,5.64,0.28,3.19,0.5,6.17,327.02,89.49,1.88,20.84,12,0.71,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
40.52,3.31,2.44,0.36,2.46,2.59,51.75,299.27,56.36,1.93,39.51,12,0.59,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
24.62,2.68,4.3,0.97,5.4,2.17,22.7,276.82,54.04,3.13,26.65,21,0.11,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
16.1,2.91,3.89,0.51,5.63,0.75,35.78,426.67,72.88,1.23,37.39,15,0.88,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
36.85,1.89,2.63,0.46,2.87,1.25,71.25,297.3,62.21,2.07,74.41,10,0.23,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
29.95,3.45,7.16,0.01,4.04,1.25,21.66,235.96,83.76,3.83,39.39,25,0.56,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
29.13,1.19,3.52,0.25,4.79,2.14,16.11,499.32,76.68,3.93,44.66,16,0.28,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
46.79,1.72,2.87,0.49,5.94,0.73,55.41,428.49,73.76,3.18,42.07,13,0.98,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
28.96,3.45,6.79,0.15,4.03,2.09,69.38,297.79,72.02,3.13,68.57,13,0.65,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
21.1,3.07,4.32,0.94,2.55,1.02,13.51,477.41,137.73,1.77,59.6,19,0.98,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
33.08,1.78,7.98,0.97,4.23,2.65,19.15,283.66,120.04,3.54,71.38,15,0.78,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
37.47,1.25,2.97,0.9,4.43,0.03,12.61,399.05,50.51,1.48,52.92,15,0.45,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1
49.81,1.53,2.11,0.49,2.72,1.1,60.81,416.28,80.81,2.63,50.53,15,0.27,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
23.54,3.92,4.36,0.89,4.52,2.38,42.7,373.07,99.25,1.59,63.35,12,0.57,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
41.9,1.13,7.97,0.47,3.12,2.65,61.08,485.92,83.08,2.66,54.34,21,0.85,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
25.31,2.16,7.11,0.32,2.68,1.67,75.21,408.81,107.01,1.29,56.9,15,0.36,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
23.9,1.89,3.94,0.85,2.55,2.13,46.46,288.95,91.98,1.77,56.69,21,0.51,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
32.55,3.39,5.9,0.7,5.18,2.67,30.35,312.67,59.4,2.73,22.16,18,0.16,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
49.36,3.52,7.16,0.25,2.16,0.91,45.28,298.0,132.79,1.81,77.92,16,0.09,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
16.81,2.59,5.24,0.64,4.9,2.93,43.72,296.89,129.52,1.81,46.34,16,0.25,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
21.45,1.24,4.57,0.69,2.23,2.75,38.18,271.94,59.39,1.55,76.08,10,0.95,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
40.83,2.66,5.67,0.42,2.99,1.07,61.84,204.32,61.61,1.14,22.44,23,0.98,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
21.14,1.05,6.58,0.81,3.39,1.39,53.73,214.42,144.91,3.66,35.65,19,0.63,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
